invoice_id,customer_id,store_id,order_date,ship_date,due_date,subtotal,discount_total,tax_amount,freight,grand_total,vat_rate,currency,payment_method,promotion_id,is_return,reference_invoice_id,n_lines
1-20150210-000001,1,104,2015-02-10,2015-02-13,2015-03-15,838.0,0.0,73.32,0.0,911.32,0.0875,USD,Card,,0,,4
1-20150524-000002,1,103,2015-05-24,2015-05-27,2015-06-26,1183.5,0.0,103.56,0.0,1287.06,0.0875,USD,Card,,0,,4
1-20150823-000003,1,101,2015-08-23,2015-08-23,2015-09-22,145.5,0.0,12.73,0.0,158.23,0.0875,USD,Card,,0,,2
1-20150908-000004,1,101,2015-09-08,2015-09-10,2015-10-10,7.5,0.0,0.66,5.0,13.16,0.0875,USD,Card,,0,,1
1-20151114-000005,1,102,2015-11-14,2015-11-15,2015-12-15,15.0,0.0,1.31,5.0,21.31,0.0875,USD,COD,,0,,1
1-20151122-000006,1,103,2015-11-22,2015-11-22,2015-12-22,689.0,0.0,60.29,0.0,749.29,0.0875,USD,ApplePay,,0,,3
1-20151211-000007,1,101,2015-12-11,2015-12-14,2016-01-13,16.0,0.0,1.4,5.0,22.4,0.0875,USD,Card,,0,,1
2-20150210-000001,2,103,2015-02-10,2015-02-10,2015-03-12,726.5,0.0,63.57,0.0,790.07,0.0875,USD,Card,,0,,2
2-20150325-000002,2,107,2015-03-25,2015-03-25,2015-04-24,206.0,0.0,18.02,0.0,224.02,0.0875,USD,Card,,0,,3
2-20150623-000003,2,103,2015-06-23,2015-06-25,2015-07-25,718.0,0.0,62.82,0.0,780.82,0.0875,USD,Card,,0,,2
2-20150713-000004,2,104,2015-07-13,2015-07-13,2015-08-12,118.0,0.0,10.32,0.0,128.32,0.0875,USD,Cash,,0,,2
2-20150802-000005,2,108,2015-08-02,2015-08-02,2015-09-01,798.0,0.0,69.82,0.0,867.82,0.0875,USD,ApplePay,,0,,1
2-20150805-000006,2,104,2015-08-05,2015-08-05,2015-09-04,1135.5,0.0,99.36,0.0,1234.86,0.0875,USD,Card,,0,,3
2-20150909-000007,2,103,2015-09-09,2015-09-11,2015-10-11,143.0,0.0,12.51,0.0,155.51,0.0875,USD,Card,,0,,2
2-20150926-000008,2,106,2015-09-26,2015-09-29,2015-10-29,267.0,0.0,23.36,0.0,290.36,0.0875,USD,Card,,0,,1
2-20151112-000009,2,107,2015-11-12,2015-11-14,2015-12-14,137.0,0.0,11.99,0.0,148.99,0.0875,USD,Card,,0,,1
2-20151215-000010,2,103,2015-12-15,2015-12-15,2016-01-14,53.5,0.0,4.68,0.0,58.18,0.0875,USD,Card,,0,,3
2-20151227-000011,2,107,2015-12-27,2015-12-29,2016-01-28,269.0,53.8,18.83,0.0,234.03,0.0875,USD,Card,P-US-20151226-BOXING,0,,1
2-20160206-000012,2,107,2016-02-06,2016-02-06,2016-03-07,98.0,0.0,8.57,0.0,106.57,0.0875,USD,PayPal,,0,,2
2-20160214-000013,2,106,2016-02-14,2016-02-16,2016-03-17,372.5,0.0,32.59,0.0,405.09,0.0875,USD,COD,,0,,3
2-20160306-000014,2,102,2016-03-06,2016-03-09,2016-04-08,23.5,3.25,1.77,5.0,27.02,0.0875,USD,Card,P-US-20160305-SPRING,0,,1
2-20160404-000015,2,108,2016-04-04,2016-04-04,2016-05-04,287.5,0.0,25.16,0.0,312.66,0.0875,USD,Card,,0,,2
2-20160425-000016,2,108,2016-04-25,2016-04-26,2016-05-26,32.0,0.0,2.8,5.0,39.8,0.0875,USD,Card,,0,,1
2-20160511-000017,2,102,2016-05-11,2016-05-12,2016-06-11,70.0,0.0,6.12,0.0,76.12,0.0875,USD,Card,,0,,1
2-20160519-000018,2,107,2016-05-19,2016-05-19,2016-06-18,294.0,0.0,25.72,0.0,319.72,0.0875,USD,ApplePay,,0,,3
2-20160626-000019,2,105,2016-06-26,2016-06-28,2016-07-28,32.0,0.0,2.8,5.0,39.8,0.0875,USD,Card,,0,,1
2-20160707-000020,2,101,2016-07-07,2016-07-08,2016-08-07,127.0,0.0,11.11,0.0,138.11,0.0875,USD,COD,,0,,2
2-20160803-000021,2,107,2016-08-03,2016-08-04,2016-09-03,306.0,0.0,26.77,0.0,332.77,0.0875,USD,PayPal,,0,,2
2-20160807-000022,2,101,2016-08-07,2016-08-10,2016-09-09,370.0,0.0,32.38,0.0,402.38,0.0875,USD,Transfer,,0,,2
2-20160809-000023,2,102,2016-08-09,2016-08-11,2016-09-10,143.0,0.0,12.51,0.0,155.51,0.0875,USD,Card,,0,,2
2-20160905-000024,2,104,2016-09-05,2016-09-06,2016-10-06,105.0,0.0,9.19,0.0,114.19,0.0875,USD,Cash,,0,,3
2-20160910-000025,2,107,2016-09-10,2016-09-11,2016-10-11,275.0,0.0,24.06,0.0,299.06,0.0875,USD,Card,,0,,1
2-20161015-000026,2,102,2016-10-15,2016-10-15,2016-11-14,21.0,0.0,1.84,5.0,27.84,0.0875,USD,Cash,,0,,1
2-20161017-000027,2,101,2016-10-17,2016-10-17,2016-11-16,96.0,0.0,8.4,0.0,104.4,0.0875,USD,ApplePay,,0,,2
2-20161105-000028,2,106,2016-11-05,2016-11-07,2016-12-07,60.0,0.0,5.25,0.0,65.25,0.0875,USD,Card,,0,,2
2-20161128-000029,2,102,2016-11-28,2016-12-01,2016-12-31,130.5,39.15,7.99,0.0,99.34,0.0875,USD,Card,P-US-20161123-BLACK,0,,3
