month,channel,spend_amount,currency,market
2015-01-01,ORGANIC,119.21,USD,us
2015-01-01,REFERRAL,215.95,USD,us
2015-01-01,PAID_SEARCH,488.17,USD,us
2015-01-01,PAID_SOCIAL,362.17,USD,us
2015-01-01,EMAIL,101.0,USD,us
2015-01-01,AFFILIATE,292.06,USD,us
2015-02-01,ORGANIC,239.76,USD,us
2015-02-01,REFERRAL,329.38,USD,us
2015-02-01,PAID_SEARCH,914.66,USD,us
2015-02-01,PAID_SOCIAL,639.22,USD,us
2015-02-01,EMAIL,155.5,USD,us
2015-02-01,AFFILIATE,500.23,USD,us
2015-03-01,ORGANIC,173.54,USD,us
2015-03-01,REFERRAL,287.6,USD,us
2015-03-01,PAID_SEARCH,773.19,USD,us
2015-03-01,PAID_SOCIAL,653.61,USD,us
2015-03-01,EMAIL,135.32,USD,us
2015-03-01,AFFILIATE,430.54,USD,us
2015-04-01,ORGANIC,211.59,USD,us
2015-04-01,REFERRAL,324.4,USD,us
2015-04-01,PAID_SEARCH,863.62,USD,us
2015-04-01,PAID_SOCIAL,692.3,USD,us
2015-04-01,EMAIL,149.26,USD,us
2015-04-01,AFFILIATE,421.21,USD,us
2015-05-01,ORGANIC,185.27,USD,us
2015-05-01,REFERRAL,271.06,USD,us
2015-05-01,PAID_SEARCH,941.19,USD,us
2015-05-01,PAID_SOCIAL,551.27,USD,us
2015-05-01,EMAIL,159.62,USD,us
2015-05-01,AFFILIATE,421.24,USD,us
2015-06-01,ORGANIC,223.5,USD,us
2015-06-01,REFERRAL,250.25,USD,us
2015-06-01,PAID_SEARCH,871.3,USD,us
2015-06-01,PAID_SOCIAL,596.52,USD,us
2015-06-01,EMAIL,141.0,USD,us
2015-06-01,AFFILIATE,389.97,USD,us
2015-07-01,ORGANIC,187.63,USD,us
2015-07-01,REFERRAL,273.65,USD,us
2015-07-01,PAID_SEARCH,671.3,USD,us
2015-07-01,PAID_SOCIAL,451.91,USD,us
2015-07-01,EMAIL,113.88,USD,us
2015-07-01,AFFILIATE,365.6,USD,us
2015-08-01,ORGANIC,174.45,USD,us
2015-08-01,REFERRAL,296.46,USD,us
