survey_id,customer_id,sent_at,response_at,score,nps_category
S-00000001,9,2015-03-31,,,
S-00000002,1,2015-06-30,2015-06-30,9,Promoter
S-00000003,2,2015-06-30,2015-07-07,9,Promoter
S-00000004,5,2015-06-30,2015-07-11,9,Promoter
S-00000005,6,2015-06-30,,,
S-00000006,9,2015-06-30,,,
S-00000007,2,2015-09-30,2015-10-09,7,Passive
S-00000008,5,2015-09-30,,,
S-00000009,6,2015-09-30,,,
S-00000010,9,2015-09-30,2015-10-11,8,Passive
S-00000011,3,2015-12-31,2016-01-08,9,Promoter
S-00000012,8,2015-12-31,2016-01-10,8,Passive
S-00000013,9,2015-12-31,,,
S-00000014,13,2015-12-31,,,
S-00000015,22,2016-06-30,2016-07-11,8,Passive
S-00000016,2,2016-09-30,2016-10-14,6,Detractor
S-00000017,11,2016-09-30,2016-10-09,7,Passive
S-00000018,22,2016-09-30,2016-10-09,10,Promoter
S-00000019,3,2016-12-31,,,
S-00000020,23,2016-12-31,2017-01-14,10,Promoter
S-00000021,26,2016-12-31,2017-01-13,6,Detractor
S-00000022,31,2016-12-31,2017-01-10,1,Detractor
S-00000023,32,2016-12-31,,,
S-00000024,33,2016-12-31,,,
S-00000025,5,2017-03-31,,,
S-00000026,7,2017-03-31,,,
S-00000027,8,2017-03-31,2017-04-06,9,Promoter
S-00000028,12,2017-03-31,2017-04-09,9,Promoter
S-00000029,13,2017-03-31,2017-04-11,9,Promoter
S-00000030,19,2017-03-31,2017-04-08,6,Detractor
S-00000031,21,2017-03-31,,,
S-00000032,23,2017-03-31,2017-04-08,9,Promoter
S-00000033,25,2017-03-31,2017-04-04,9,Promoter
S-00000034,27,2017-03-31,2017-04-11,7,Passive
S-00000035,28,2017-03-31,,,
S-00000036,29,2017-03-31,2017-04-04,10,Promoter
S-00000037,31,2017-03-31,2017-04-11,4,Detractor
S-00000038,33,2017-03-31,2017-04-08,3,Detractor
S-00000039,35,2017-03-31,2017-04-10,8,Passive
S-00000040,12,2017-06-30,2017-07-05,10,Promoter
S-00000041,14,2017-06-30,,,
S-00000042,22,2017-06-30,,,
S-00000043,25,2017-06-30,,,
S-00000044,34,2017-06-30,2017-07-13,6,Detractor
S-00000045,38,2017-06-30,2017-07-08,8,Passive
S-00000046,40,2017-06-30,2017-07-03,7,Passive
S-00000047,43,2017-06-30,,,
S-00000048,44,2017-06-30,,,
S-00000049,19,2017-09-30,2017-10-03,8,Passive
S-00000050,22,2017-09-30,2017-10-05,9,Promoter
S-00000051,24,2017-09-30,2017-10-10,6,Detractor
S-00000052,27,2017-09-30,2017-10-13,7,Passive
S-00000053,43,2017-09-30,2017-10-02,7,Passive
S-00000054,51,2017-09-30,2017-10-11,9,Promoter
S-00000055,53,2017-09-30,2017-10-08,9,Promoter
S-00000056,61,2017-09-30,2017-10-11,9,Promoter
S-00000057,2,2017-12-31,2018-01-01,8,Passive
S-00000058,8,2017-12-31,2017-12-31,10,Promoter
S-00000059,12,2017-12-31,2018-01-14,9,Promoter
S-00000060,15,2017-12-31,,,
S-00000061,19,2017-12-31,2018-01-12,7,Passive
S-00000062,20,2017-12-31,2018-01-14,8,Passive
S-00000063,24,2017-12-31,2018-01-02,10,Promoter
S-00000064,33,2017-12-31,,,
S-00000065,37,2017-12-31,2018-01-01,8,Passive
S-00000066,38,2017-12-31,2018-01-02,10,Promoter
S-00000067,40,2017-12-31,2018-01-07,10,Promoter
S-00000068,41,2017-12-31,,,
S-00000069,48,2017-12-31,,,
S-00000070,54,2017-12-31,,,
S-00000071,56,2017-12-31,2018-01-12,1,Detractor
S-00000072,63,2017-12-31,,,
S-00000073,10,2018-03-31,,,
S-00000074,15,2018-03-31,,,
S-00000075,30,2018-03-31,2018-04-01,9,Promoter
S-00000076,33,2018-03-31,2018-04-11,5,Detractor
S-00000077,38,2018-03-31,,,
S-00000078,39,2018-03-31,2018-04-09,8,Passive
S-00000079,57,2018-03-31,2018-04-05,7,Passive
S-00000080,61,2018-03-31,2018-04-08,8,Passive
S-00000081,62,2018-03-31,2018-04-14,4,Detractor
S-00000082,67,2018-03-31,2018-04-09,5,Detractor
S-00000083,68,2018-03-31,2018-04-04,8,Passive
S-00000084,71,2018-03-31,,,
S-00000085,72,2018-03-31,,,
S-00000086,5,2018-06-30,,,
S-00000087,19,2018-06-30,,,
S-00000088,20,2018-06-30,,,
S-00000089,26,2018-06-30,2018-07-03,10,Promoter
S-00000090,35,2018-06-30,2018-07-11,6,Detractor
S-00000091,41,2018-06-30,,,
S-00000092,44,2018-06-30,,,
S-00000093,46,2018-06-30,2018-07-11,8,Passive
S-00000094,48,2018-06-30,2018-07-07,8,Passive
S-00000095,51,2018-06-30,2018-07-01,9,Promoter
S-00000096,52,2018-06-30,,,
S-00000097,53,2018-06-30,2018-07-10,1,Detractor
S-00000098,60,2018-06-30,2018-07-12,9,Promoter
S-00000099,61,2018-06-30,2018-07-02,8,Passive
S-00000100,69,2018-06-30,,,
S-00000101,73,2018-06-30,,,
S-00000102,75,2018-06-30,2018-07-01,4,Detractor
S-00000103,85,2018-06-30,,,
S-00000104,5,2018-09-30,2018-10-11,5,Detractor
S-00000105,10,2018-09-30,2018-10-06,5,Detractor
S-00000106,11,2018-09-30,,,
S-00000107,13,2018-09-30,2018-10-09,10,Promoter
S-00000108,15,2018-09-30,2018-09-30,8,Passive
S-00000109,23,2018-09-30,2018-10-01,8,Passive
S-00000110,27,2018-09-30,2018-10-07,7,Passive
S-00000111,30,2018-09-30,2018-10-06,8,Passive
S-00000112,31,2018-09-30,,,
S-00000113,40,2018-09-30,,,
S-00000114,46,2018-09-30,,,
S-00000115,53,2018-09-30,,,
S-00000116,54,2018-09-30,,,
S-00000117,61,2018-09-30,,,
S-00000118,64,2018-09-30,2018-10-01,10,Promoter
S-00000119,69,2018-09-30,2018-10-13,5,Detractor
S-00000120,71,2018-09-30,,,
S-00000121,74,2018-09-30,,,
S-00000122,92,2018-09-30,2018-10-12,9,Promoter
S-00000123,99,2018-09-30,,,
S-00000124,2,2018-12-31,,,
S-00000125,6,2018-12-31,,,
S-00000126,7,2018-12-31,2019-01-12,7,Passive
S-00000127,14,2018-12-31,,,
S-00000128,15,2018-12-31,2019-01-06,10,Promoter
S-00000129,26,2018-12-31,2019-01-08,8,Passive
S-00000130,29,2018-12-31,,,
S-00000131,43,2018-12-31,,,
S-00000132,51,2018-12-31,,,
S-00000133,52,2018-12-31,2019-01-08,7,Passive
S-00000134,54,2018-12-31,,,
S-00000135,59,2018-12-31,2019-01-08,9,Promoter
S-00000136,60,2018-12-31,2019-01-08,7,Passive
S-00000137,66,2018-12-31,2019-01-02,6,Detractor
S-00000138,68,2018-12-31,2019-01-01,8,Passive
S-00000139,73,2018-12-31,2019-01-12,10,Promoter
S-00000140,74,2018-12-31,,,
S-00000141,75,2018-12-31,2018-12-31,7,Passive
S-00000142,80,2018-12-31,2019-01-08,5,Detractor
S-00000143,89,2018-12-31,,,
S-00000144,90,2018-12-31,2019-01-01,10,Promoter
S-00000145,95,2018-12-31,,,
S-00000146,106,2018-12-31,2019-01-10,8,Passive
S-00000147,108,2018-12-31,2019-01-08,3,Detractor
S-00000148,115,2018-12-31,2019-01-13,10,Promoter
S-00000149,116,2018-12-31,,,
S-00000150,117,2018-12-31,,,
S-00000151,124,2018-12-31,,,
S-00000152,26,2019-03-31,2019-04-07,6,Detractor
S-00000153,27,2019-03-31,,,
S-00000154,29,2019-03-31,,,
S-00000155,30,2019-03-31,,,
S-00000156,35,2019-03-31,2019-04-09,7,Passive
S-00000157,37,2019-03-31,2019-04-02,10,Promoter
S-00000158,41,2019-03-31,,,
S-00000159,44,2019-03-31,,,
S-00000160,46,2019-03-31,2019-03-31,9,Promoter
S-00000161,51,2019-03-31,,,
S-00000162,75,2019-03-31,,,
S-00000163,77,2019-03-31,,,
S-00000164,86,2019-03-31,2019-04-09,10,Promoter
S-00000165,87,2019-03-31,,,
S-00000166,91,2019-03-31,,,
S-00000167,93,2019-03-31,,,
S-00000168,95,2019-03-31,,,
S-00000169,96,2019-03-31,2019-04-04,9,Promoter
S-00000170,104,2019-03-31,,,
S-00000171,106,2019-03-31,,,
S-00000172,116,2019-03-31,2019-04-03,8,Passive
S-00000173,119,2019-03-31,,,
S-00000174,121,2019-03-31,,,
S-00000175,124,2019-03-31,2019-04-11,8,Passive
S-00000176,125,2019-03-31,2019-04-02,8,Passive
S-00000177,129,2019-03-31,,,
S-00000178,130,2019-03-31,2019-04-05,5,Detractor
S-00000179,141,2019-03-31,,,
S-00000180,143,2019-03-31,2019-04-09,10,Promoter
S-00000181,147,2019-03-31,2019-04-05,10,Promoter
S-00000182,153,2019-03-31,,,
S-00000183,157,2019-03-31,2019-04-03,7,Passive
S-00000184,8,2019-06-30,2019-07-12,8,Passive
S-00000185,10,2019-06-30,2019-07-01,9,Promoter
S-00000186,17,2019-06-30,2019-07-05,7,Passive
S-00000187,20,2019-06-30,,,
S-00000188,30,2019-06-30,2019-07-12,8,Passive
S-00000189,33,2019-06-30,,,
S-00000190,37,2019-06-30,2019-07-10,8,Passive
S-00000191,39,2019-06-30,2019-07-03,8,Passive
S-00000192,46,2019-06-30,2019-07-05,8,Passive
S-00000193,52,2019-06-30,2019-07-04,8,Passive
S-00000194,59,2019-06-30,,,
S-00000195,69,2019-06-30,,,
S-00000196,70,2019-06-30,,,
S-00000197,73,2019-06-30,,,
S-00000198,78,2019-06-30,2019-07-04,7,Passive
S-00000199,80,2019-06-30,2019-07-01,9,Promoter
