promotion_id,name,discount_pct,category_scope,start_date,end_date,market
P-US-20150108-ENDOF,End of Year Clearance,0.273,REFILL,2015-01-08,2015-01-18,us
P-US-20150307-SPRING,Spring Sale,0.1632,ALL,2015-03-07,2015-03-21,us
P-US-20150606-SUMMER,Summer Refresh,0.2009,ACCESSORY,2015-06-06,2015-06-20,us
P-US-20150921-BACKT,Back to Routine,0.1096,DEVICE,2015-09-21,2015-10-01,us
P-US-20151123-BLACK,Black Friday Week,0.3,ALL,2015-11-23,2015-11-30,us
P-US-20151226-BOXING,Boxing Week,0.2,ALL,2015-12-26,2015-12-31,us
P-US-20160113-ENDOF,End of Year Clearance,0.2308,ALL,2016-01-13,2016-01-23,us
P-US-20160305-SPRING,Spring Sale,0.1385,ALL,2016-03-05,2016-03-19,us
P-US-20160616-SUMMER,Summer Refresh,0.1973,DEVICE,2016-06-16,2016-06-30,us
P-US-20160921-BACKT,Back to Routine,0.1066,ALL,2016-09-21,2016-10-01,us
P-US-20161123-BLACK,Black Friday Week,0.3,ALL,2016-11-23,2016-11-30,us
P-US-20161226-BOXING,Boxing Week,0.2,ALL,2016-12-26,2016-12-31,us
P-US-20170104-ENDOF,End of Year Clearance,0.2726,ALL,2017-01-04,2017-01-14,us
P-US-20170321-SPRING,Spring Sale,0.1625,DEVICE,2017-03-21,2017-04-04,us
P-US-20170608-SUMMER,Summer Refresh,0.2275,ALL,2017-06-08,2017-06-22,us
P-US-20170917-BACKT,Back to Routine,0.1017,ALL,2017-09-17,2017-09-27,us
P-US-20171123-BLACK,Black Friday Week,0.3,ALL,2017-11-23,2017-11-30,us
P-US-20171226-BOXING,Boxing Week,0.2,ALL,2017-12-26,2017-12-31,us
P-US-20180116-ENDOF,End of Year Clearance,0.2689,ALL,2018-01-16,2018-01-26,us
P-US-20180317-SPRING,Spring Sale,0.1703,ACCESSORY,2018-03-17,2018-03-31,us
P-US-20180615-SUMMER,Summer Refresh,0.2198,SPARE_PART,2018-06-15,2018-06-29,us
P-US-20180918-BACKT,Back to Routine,0.0898,ALL,2018-09-18,2018-09-28,us
P-US-20181123-BLACK,Black Friday Week,0.3,ALL,2018-11-23,2018-11-30,us
P-US-20181226-BOXING,Boxing Week,0.2,ALL,2018-12-26,2018-12-31,us
P-US-20190118-ENDOF,End of Year Clearance,0.2238,ALL,2019-01-18,2019-01-28,us
P-US-20190321-SPRING,Spring Sale,0.1625,ALL,2019-03-21,2019-04-04,us
P-US-20190616-SUMMER,Summer Refresh,0.1964,ACCESSORY,2019-06-16,2019-06-30,us
P-US-20190910-BACKT,Back to Routine,0.0951,ALL,2019-09-10,2019-09-20,us
P-US-20191123-BLACK,Black Friday Week,0.3,ALL,2019-11-23,2019-11-30,us
P-US-20191226-BOXING,Boxing Week,0.2,ALL,2019-12-26,2019-12-31,us
P-US-20200119-ENDOF,End of Year Clearance,0.2768,DEVICE,2020-01-19,2020-01-29,us
P-US-20200313-SPRING,Spring Sale,0.1304,REFILL,2020-03-13,2020-03-27,us
P-US-20200614-SUMMER,Summer Refresh,0.198,ALL,2020-06-14,2020-06-28,us
P-US-20200902-BACKT,Back to Routine,0.0976,ALL,2020-09-02,2020-09-12,us
P-US-20201123-BLACK,Black Friday Week,0.3,ALL,2020-11-23,2020-11-30,us
P-US-20201226-BOXING,Boxing Week,0.2,ALL,2020-12-26,2020-12-31,us
P-US-20210120-ENDOF,End of Year Clearance,0.229,SPARE_PART,2021-01-20,2021-01-30,us
P-US-20210319-SPRING,Spring Sale,0.1278,ALL,2021-03-19,2021-04-02,us
P-US-20210612-SUMMER,Summer Refresh,0.1934,ALL,2021-06-12,2021-06-26,us
P-US-20210914-BACKT,Back to Routine,0.107,ALL,2021-09-14,2021-09-24,us
P-US-20211123-BLACK,Black Friday Week,0.3,ALL,2021-11-23,2021-11-30,us
P-US-20211226-BOXING,Boxing Week,0.2,ALL,2021-12-26,2021-12-31,us
P-US-20220119-ENDOF,End of Year Clearance,0.2145,ALL,2022-01-19,2022-01-29,us
P-US-20220314-SPRING,Spring Sale,0.145,ALL,2022-03-14,2022-03-28,us
P-US-20220613-SUMMER,Summer Refresh,0.2252,SPARE_PART,2022-06-13,2022-06-27,us
P-US-20220920-BACKT,Back to Routine,0.1122,ALL,2022-09-20,2022-09-30,us
P-US-20221123-BLACK,Black Friday Week,0.3,ALL,2022-11-23,2022-11-30,us
P-US-20221226-BOXING,Boxing Week,0.2,ALL,2022-12-26,2022-12-31,us
P-US-20230113-ENDOF,End of Year Clearance,0.2838,ALL,2023-01-13,2023-01-23,us
P-US-20230321-SPRING,Spring Sale,0.1665,ALL,2023-03-21,2023-04-04,us
P-US-20230606-SUMMER,Summer Refresh,0.1927,ALL,2023-06-06,2023-06-20,us
P-US-20230907-BACKT,Back to Routine,0.0951,ALL,2023-09-07,2023-09-17,us
P-US-20231123-BLACK,Black Friday Week,0.3,ALL,2023-11-23,2023-11-30,us
P-US-20231226-BOXING,Boxing Week,0.2,ALL,2023-12-26,2023-12-31,us
P-US-20240121-ENDOF,End of Year Clearance,0.2148,ALL,2024-01-21,2024-01-31,us
P-US-20240314-SPRING,Spring Sale,0.1312,ALL,2024-03-14,2024-03-28,us
P-US-20240601-SUMMER,Summer Refresh,0.23,DEVICE,2024-06-01,2024-06-15,us
P-US-20240912-BACKT,Back to Routine,0.0871,ALL,2024-09-12,2024-09-22,us
P-US-20241123-BLACK,Black Friday Week,0.3,ALL,2024-11-23,2024-11-30,us
P-US-20241226-BOXING,Boxing Week,0.2,ALL,2024-12-26,2024-12-31,us
P-US-20250109-ENDOF,End of Year Clearance,0.2579,REFILL,2025-01-09,2025-01-19,us
P-US-20250308-SPRING,Spring Sale,0.1284,ALL,2025-03-08,2025-03-22,us
P-US-20250605-SUMMER,Summer Refresh,0.1984,ALL,2025-06-05,2025-06-19,us
P-US-20250904-BACKT,Back to Routine,0.0915,ALL,2025-09-04,2025-09-14,us
P-US-20251123-BLACK,Black Friday Week,0.3,ALL,2025-11-23,2025-11-30,us
P-US-20251226-BOXING,Boxing Week,0.2,ALL,2025-12-26,2025-12-31,us
