line_id,invoice_id,product_id,quantity,unit_price,discount_pct,discount_amount,extended_amount,line_total,unit_standard_cost,line_cost,gross_margin
1,1-20150210-000001,97,1,630.0,0.0,0.0,630.0,630.0,338.37,338.37,291.63
2,1-20150210-000001,67,4,8.5,0.0,0.0,34.0,34.0,3.12,12.48,21.52
3,1-20150210-000001,36,2,18.5,0.0,0.0,37.0,37.0,6.76,13.52,23.48
4,1-20150210-000001,92,1,137.0,0.0,0.0,137.0,137.0,66.6,66.6,70.4
5,1-20150524-000002,97,1,634.5,0.0,0.0,634.5,634.5,338.37,338.37,296.13
6,1-20150524-000002,55,1,8.0,0.0,0.0,8.0,8.0,2.68,2.68,5.32
7,1-20150524-000002,10,1,12.0,0.0,0.0,12.0,12.0,4.22,4.22,7.78
8,1-20150524-000002,40,2,264.5,0.0,0.0,529.0,529.0,96.32,192.64,336.36
9,1-20150823-000003,8,4,31.5,0.0,0.0,126.0,126.0,11.22,44.88,81.12
10,1-20150823-000003,13,1,19.5,0.0,0.0,19.5,19.5,6.79,6.79,12.71
11,1-20150908-000004,21,1,7.5,0.0,0.0,7.5,7.5,2.56,2.56,4.94
12,1-20151114-000005,2,2,7.5,0.0,0.0,15.0,15.0,2.62,5.24,9.76
13,1-20151122-000006,97,1,644.0,0.0,0.0,644.0,644.0,338.37,338.37,305.63
14,1-20151122-000006,41,1,29.0,0.0,0.0,29.0,29.0,10.2,10.2,18.8
15,1-20151122-000006,17,2,8.0,0.0,0.0,16.0,16.0,2.87,5.74,10.26
16,1-20151211-000007,31,1,16.0,0.0,0.0,16.0,16.0,5.63,5.63,10.37
17,2-20150210-000001,85,1,703.5,0.0,0.0,703.5,703.5,376.74,376.74,326.76
18,2-20150210-000001,49,1,23.0,0.0,0.0,23.0,23.0,7.86,7.86,15.14
19,2-20150325-000002,77,2,9.5,0.1552,2.95,19.0,16.05,3.3,6.6,9.45
20,2-20150325-000002,1,1,61.0,0.1552,9.47,61.0,51.53,22.3,22.3,29.23
21,2-20150325-000002,8,4,31.5,0.1552,19.56,126.0,106.44,11.22,44.88,61.56
22,2-20150623-000003,85,1,708.5,0.22,155.87,708.5,552.63,376.74,376.74,175.89
23,2-20150623-000003,64,1,9.5,0.22,2.09,9.5,7.41,3.2,3.2,4.21
24,2-20150713-000004,1,1,61.0,0.0,0.0,61.0,61.0,22.3,22.3,38.7
25,2-20150713-000004,77,6,9.5,0.0,0.0,57.0,57.0,3.3,19.8,37.2
26,2-20150802-000005,40,3,266.0,0.0,0.0,798.0,798.0,96.32,288.96,509.04
27,2-20150805-000006,40,4,266.0,0.0,0.0,1064.0,1064.0,96.32,385.28,678.72
28,2-20150805-000006,79,1,10.0,0.0,0.0,10.0,10.0,3.52,3.52,6.48
29,2-20150805-000006,1,1,61.5,0.0,0.0,61.5,61.5,22.3,22.3,39.2
30,2-20150909-000007,1,2,61.5,0.0,0.0,123.0,123.0,22.3,44.6,78.4
31,2-20150909-000007,87,1,20.0,0.0,0.0,20.0,20.0,7.17,7.17,12.83
32,2-20150926-000008,40,1,267.0,0.0,0.0,267.0,267.0,96.32,96.32,170.68
33,2-20151112-000009,25,2,68.5,0.0,0.0,137.0,137.0,23.17,46.34,90.66
34,2-20151215-000010,87,1,20.5,0.0,0.0,20.5,20.5,7.17,7.17,13.33
35,2-20151215-000010,79,1,10.0,0.0,0.0,10.0,10.0,3.52,3.52,6.48
36,2-20151215-000010,22,1,23.0,0.0,0.0,23.0,23.0,7.72,7.72,15.28
37,2-20151227-000011,40,1,269.0,0.2,53.8,269.0,215.2,96.32,96.32,118.88
38,2-20160206-000012,25,1,69.0,0.0,0.0,69.0,69.0,23.17,23.17,45.83
39,2-20160206-000012,78,2,14.5,0.0,0.0,29.0,29.0,5.3,10.6,18.4
40,2-20160214-000013,66,1,15.5,0.0,0.0,15.5,15.5,5.27,5.27,10.23
41,2-20160214-000013,89,4,63.5,0.0,0.0,254.0,254.0,22.14,88.56,165.44
42,2-20160214-000013,61,1,103.0,0.0,0.0,103.0,103.0,49.79,49.79,53.21
43,2-20160306-000014,22,1,23.5,0.0,0.0,23.5,23.5,7.72,7.72,15.78
44,2-20160404-000015,40,1,271.5,0.0,0.0,271.5,271.5,96.32,96.32,175.18
45,2-20160404-000015,11,1,16.0,0.0,0.0,16.0,16.0,5.38,5.38,10.62
46,2-20160425-000016,8,1,32.0,0.0,0.0,32.0,32.0,11.22,11.22,20.78
47,2-20160511-000017,25,1,70.0,0.0,0.0,70.0,70.0,23.17,23.17,46.83
48,2-20160519-000018,77,2,10.0,0.0,0.0,20.0,20.0,3.3,6.6,13.4
49,2-20160519-000018,25,3,70.0,0.0,0.0,210.0,210.0,23.17,69.51,140.49
50,2-20160519-000018,89,1,64.0,0.0,0.0,64.0,64.0,22.14,22.14,41.86
51,2-20160626-000019,8,1,32.0,0.0,0.0,32.0,32.0,11.22,11.22,20.78
52,2-20160707-000020,8,3,32.0,0.0,0.0,96.0,96.0,11.22,33.66,62.34
53,2-20160707-000020,66,2,15.5,0.0,0.0,31.0,31.0,5.27,10.54,20.46
54,2-20160803-000021,8,1,32.0,0.0,0.0,32.0,32.0,11.22,11.22,20.78
55,2-20160803-000021,40,1,274.0,0.0,0.0,274.0,274.0,96.32,96.32,177.68
56,2-20160807-000022,40,1,274.0,0.0,0.0,274.0,274.0,96.32,96.32,177.68
57,2-20160807-000022,8,3,32.0,0.0,0.0,96.0,96.0,11.22,33.66,62.34
58,2-20160809-000023,78,1,15.0,0.0,0.0,15.0,15.0,5.3,5.3,9.7
59,2-20160809-000023,8,4,32.0,0.0,0.0,128.0,128.0,11.22,44.88,83.12
60,2-20160905-000024,64,1,10.0,0.0,0.0,10.0,10.0,3.2,3.2,6.8
61,2-20160905-000024,8,2,32.5,0.0,0.0,65.0,65.0,11.22,22.44,42.56
62,2-20160905-000024,64,3,10.0,0.0,0.0,30.0,30.0,3.2,9.6,20.4
63,2-20160910-000025,40,1,275.0,0.0,0.0,275.0,275.0,96.32,96.32,178.68
64,2-20161015-000026,30,1,21.0,0.0,0.0,21.0,21.0,6.81,6.81,14.19
65,2-20161017-000027,1,1,63.5,0.0,0.0,63.5,63.5,22.3,22.3,41.2
66,2-20161017-000027,8,1,32.5,0.0,0.0,32.5,32.5,11.22,11.22,21.28
67,2-20161105-000028,78,3,15.0,0.0,0.0,45.0,45.0,5.3,15.9,29.1
68,2-20161105-000028,78,1,15.0,0.0,0.0,15.0,15.0,5.3,5.3,9.7
69,2-20161128-000029,8,1,32.5,0.3,9.75,32.5,22.75,11.22,11.22,11.53
70,2-20161128-000029,11,2,16.5,0.3,9.9,33.0,23.1,5.38,10.76,12.34
