ticket_id,customer_id,invoice_id,channel,category,priority,opened_at,closed_at,resolution_hours,csat_score
T-00000001,2,2-20150210-000001,Chat,Setup help,Low,2015-02-13,2015-02-13,7.34,5
T-00000002,3,3-20160726-000013,Email,Setup help,Low,2016-08-24,2016-08-24,6.54,4
T-00000003,3,3-20160609-000012,Chat,Quality,Low,2016-06-15,2016-06-17,56.45,4
T-00000004,3,3-20160820-000015,Chat,Return,Low,2016-08-26,2016-09-09,336.0,3
T-00000005,3,3-20160922-000017,Phone,Billing,Low,2016-09-28,2016-09-28,6.6,3
T-00000006,12,12-20201224-000098,Chat,Delivery,Medium,2021-01-06,2021-01-06,13.62,5
T-00000007,12,12-20200917-000086,Email,Return,Low,2020-10-16,2020-10-18,57.78,4
T-00000008,12,12-20200301-000074,Chat,Delivery,Low,2020-03-01,2020-03-02,29.15,4
T-00000009,16,16-20160702-000001,Chat,Quality,Low,2016-07-23,2016-07-23,22.91,4
T-00000010,16,16-20161113-000002,Phone,Delivery,Low,2016-11-25,2016-11-26,26.98,4
T-00000011,23,23-20180629-000025,Phone,Delivery,Medium,2018-07-17,2018-07-17,23.78,4
T-00000012,23,23-20190318-000037,Email,Quality,Low,2019-03-26,2019-03-26,20.82,4
T-00000013,27,27-20210319-000091,Email,Billing,Low,2021-04-09,2021-04-09,10.01,5
T-00000014,29,29-20190310-000058,Email,Delivery,Low,2019-03-27,2019-03-27,17.4,4
T-00000015,29,29-20190919-000077,Chat,Return,Low,2019-09-29,2019-10-01,61.49,5
T-00000016,29,29-20200612-000108,Chat,Delivery,Medium,2020-06-25,2020-06-26,29.04,4
T-00000017,29,29-20201119-000125,Chat,Quality,Low,2020-12-01,2020-12-02,33.89,4
T-00000018,40,40-20200603-000060,Chat,Delivery,Low,2020-06-29,2020-06-30,24.87,4
T-00000019,40,40-20200627-000062,Email,Return,Low,2020-07-20,2020-07-21,29.12,3
T-00000020,41,41-20181109-000026,Phone,Return,Low,2018-11-25,2018-11-27,63.53,3
T-00000021,41,41-20181227-000030,Chat,Quality,Low,2019-01-16,2019-01-19,73.85,3
T-00000022,41,41-20250109-000064,Email,Quality,Urgent,2025-01-15,2025-01-15,7.03,4
T-00000023,43,43-20210820-000088,Chat,Quality,Low,2021-09-05,2021-09-08,79.9,4
T-00000024,43,43-20221229-000112,Email,Quality,Low,2023-01-21,2023-01-25,108.22,4
T-00000025,46,46-20221121-000190,Email,Setup help,Medium,2022-12-14,2022-12-14,3.45,5
T-00000026,46,46-20230616-000210,Email,Delivery,Low,2023-07-10,2023-07-10,4.66,4
T-00000027,59,59-20190502-000019,Chat,Delivery,Low,2019-05-27,2019-05-28,30.55,4
T-00000028,68,68-20230530-000093,Phone,Quality,Low,2023-06-11,2023-06-12,36.46,3
T-00000029,69,69-20200909-000029,Email,Return,Medium,2020-09-15,2020-09-16,25.86,4
T-00000030,88,88-20181125-000007,Phone,Return,Low,2018-12-16,2018-12-17,42.04,4
T-00000031,91,91-20201130-000038,Chat,Quality,Medium,2020-12-28,2020-12-28,17.02,5
T-00000032,91,91-20190908-000013,Email,Return,Low,2019-09-19,2019-09-23,115.86,5
T-00000033,101,101-20191020-000014,Email,Delivery,Medium,2019-11-17,2019-11-17,21.55,4
T-00000034,101,101-20200506-000028,Phone,Delivery,High,2020-05-13,2020-05-13,12.15,3
T-00000035,101,101-20190913-000011,Email,Return,Low,2019-09-18,2019-09-19,38.8,4
T-00000036,103,103-20180910-000001,Email,Quality,Low,2018-10-08,2018-10-09,27.07,4
T-00000037,107,107-20230209-000067,Chat,Delivery,Medium,2023-03-02,2023-03-03,33.35,4
T-00000038,107,107-20230312-000069,Chat,Account,Medium,2023-04-05,2023-04-05,2.7,5
T-00000039,112,112-20190406-000014,Chat,Return,Low,2019-04-19,2019-04-20,39.07,4
T-00000040,117,117-20221220-000074,Email,Return,Low,2023-01-11,2023-01-17,154.2,5
T-00000041,125,125-20210322-000060,Chat,Delivery,Low,2021-03-23,2021-03-25,54.84,4
T-00000042,126,126-20250218-000216,Email,Quality,Low,2025-03-08,2025-03-08,5.77,5
T-00000043,126,126-20251008-000243,Phone,Return,Low,2025-10-31,2025-11-01,24.82,4
T-00000044,127,127-20181209-000003,Phone,Billing,High,2018-12-12,2018-12-12,5.0,4
T-00000045,127,127-20190531-000010,Email,Delivery,Low,2019-06-02,2019-06-04,53.38,5
T-00000046,127,127-20190524-000008,Chat,Delivery,Urgent,2019-06-11,2019-06-11,9.87,3
T-00000047,128,128-20190123-000003,Chat,Return,High,2019-02-09,2019-02-10,38.15,4
T-00000048,131,131-20191129-000001,Chat,Account,Low,2019-12-29,2019-12-29,14.21,5
T-00000049,138,138-20190422-000007,Social,Delivery,Medium,2019-04-25,2019-04-26,26.77,4
T-00000050,138,138-20211204-000100,Email,Delivery,Low,2022-01-03,2022-01-04,35.03,4
T-00000051,146,146-20190205-000001,Phone,Quality,Low,2019-02-09,2019-02-09,15.65,5
T-00000052,147,147-20210729-000036,Phone,Billing,Low,2021-08-01,2021-08-01,12.09,3
T-00000053,147,147-20201212-000026,Phone,Account,Low,2021-01-05,2021-01-05,7.33,4
T-00000054,150,150-20200603-000023,Chat,Account,High,2020-07-03,2020-07-03,9.69,4
T-00000055,162,162-20241109-000135,WhatsApp,Setup help,Urgent,2024-12-01,2024-12-01,0.75,5
T-00000056,163,163-20210228-000022,Phone,Setup help,Medium,2021-03-23,2021-03-23,4.33,5
T-00000057,163,163-20210221-000021,Email,Account,Low,2021-03-18,2021-03-18,5.17,5
T-00000058,163,163-20201130-000017,Chat,Quality,Low,2020-12-17,2020-12-18,34.51,4
T-00000059,164,164-20191215-000002,Email,Return,Low,2020-01-02,2020-01-06,106.53,5
T-00000060,164,164-20190512-000001,Phone,Delivery,Medium,2019-06-04,2019-06-04,12.48,4
T-00000061,176,176-20200405-000024,Chat,Delivery,Medium,2020-04-26,2020-04-26,17.95,4
T-00000062,176,176-20191230-000019,Social,Delivery,High,2020-01-18,2020-01-18,7.69,3
T-00000063,193,193-20190823-000007,Social,Return,Low,2019-09-06,2019-09-12,154.02,3
T-00000064,194,194-20210423-000037,Email,Account,Low,2021-05-23,2021-05-23,22.2,4
T-00000065,202,202-20200406-000010,WhatsApp,Delivery,Low,2020-05-03,2020-05-05,66.08,4
T-00000066,202,202-20221125-000059,Email,Delivery,Urgent,2022-12-20,2022-12-20,8.41,3
T-00000067,212,212-20220621-000044,Phone,Quality,Low,2022-07-03,2022-07-04,32.4,4
T-00000068,220,220-20210909-000030,Social,Delivery,Medium,2021-09-09,2021-09-09,12.81,3
T-00000069,222,222-20231214-000086,Phone,Billing,Medium,2024-01-12,2024-01-12,7.09,5
T-00000070,228,228-20200814-000022,Phone,Return,High,2020-08-25,2020-08-26,43.75,5
T-00000071,230,230-20200502-000005,Chat,Delivery,Medium,2020-05-07,2020-05-07,18.5,4
T-00000072,231,231-20200701-000008,Chat,Return,Medium,2020-07-06,2020-07-07,39.6,3
T-00000073,236,236-20210308-000016,Chat,Delivery,Medium,2021-03-18,2021-03-19,41.1,4
T-00000074,240,240-20200731-000006,Email,Quality,Low,2020-08-13,2020-08-14,40.02,3
T-00000075,240,240-20201123-000010,Email,Delivery,Low,2020-11-25,2020-11-25,10.66,4
T-00000076,247,247-20220823-000040,Phone,Billing,Low,2022-09-09,2022-09-09,10.53,4
T-00000077,247,247-20250727-000095,Phone,Delivery,Low,2025-08-22,2025-08-22,18.98,3
T-00000078,266,266-20200318-000001,Phone,Quality,Medium,2020-04-06,2020-04-06,18.57,2
T-00000079,266,266-20201225-000013,WhatsApp,Return,High,2021-01-08,2021-01-08,22.86,4
